584 [main] INFO  SiiShop.SiiShopTest - Start database
3150 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
3197 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
6248 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: http://pudelek.pl/
6252 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
10577 [main] INFO  SiiShop.SiiShopTest - * * * * * * * * * * Test passed* * * * * * * * * * 
10781 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
10822 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
10840 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
11930 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: http://wp.pl
11930 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
14037 [main] INFO  SiiShop.SiiShopTest - * * * * * * * * * * Test passed* * * * * * * * * * 
14230 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
14276 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
14291 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
15630 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: http://146.59.32.4/index.php
15631 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
17175 [main] INFO  SiiShop.SiiShopTest - Current title is: TesterSii
17178 [main] INFO  SiiShop.SiiShopTest - * * * * * * * * * * Test passed* * * * * * * * * * 
17421 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
17427 [main] INFO  SiiShop.SiiShopTest - Database connection closed
